| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
|  | | [2023/3/24  Oxygen Esports  8/13  def  6/6  atk  2/7    Upper Quarterfinals  Mid-Season Face Off](/185977/g2-esports-vs-oxygen-esports-challengers-league-north-america-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2023/3/10  Turtle Troop  7/13  def  4/8  atk  3/5    Week 4  Split 1](/169004/g2-esports-vs-turtle-troop-challengers-league-north-america-w4/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/01  Oxygen Esports  13/11  def  4/8  atk  9/3    Week 3  Split 1](/168998/g2-esports-vs-oxygen-esports-challengers-league-north-america-w3/?map=2) | | | | | | | | | | |  |
|  | | [2023/2/11  BreakThru  9/13  atk  5/7  def  4/6    Week 2  Split 1](/168995/g2-esports-vs-breakthru-challengers-league-north-america-w2/?map=1) | | | | | | | | | | |  |
|  | | [2023/2/02  FaZe Clan  13/6  def  9/3  atk  4/3    Week 1  Split 1](/168984/faze-clan-vs-g2-esports-challengers-league-north-america-w1/?map=3) | | | | | | | | | | |  |
| Split (29) |  | 62% | 18 | 11 | 18 | 11 | 54% | 176 | 147 | 53% | 155 | 135 | (2)  (7)  (1)  (5)  (4)  (2)  (8) |
|  | | [2025/6/21  FNATIC  10/13  def  7/5  atk  3/8    Lower Round 3  Playoffs](/498633/g2-esports-vs-fnatic-valorant-masters-toronto-2025-lr3/?map=2) | | | | | | | | | | |  |
|  | | [2025/6/14  Paper Rex  10/13  atk  7/5  def  3/8    Upper Quarterfinals  Playoffs](/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2025/5/05  Sentinels  13/9  atk  6/6  def  7/3    Grand Final  Playoffs](/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/04  MIBR  13/10  def  5/7  atk  8/3    Lower Final  Playoffs](/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf/?map=3) | | | | | | | | | | |  |
|  | | [2025/5/03  Evil Geniuses  13/7  atk  8/4  def  5/3    Lower Round 3  Playoffs](/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3/?map=2) | | | | | | | | | | |  |
|  | | [2025/4/28  100 Thieves  12/14  atk  6/6  def  6/6  OT  0/2  Lower Round 2  Playoffs](/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2/?map=2) | | | | | | | | | | |  |
|  | | [2025/4/27  Sentinels  13/5  atk  8/4  def  5/1    Upper Semifinals  Playoffs](/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2025/3/02  T1  13/15  def  8/4  atk  4/8  OT  1/3  Grand Final  Playoffs](/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf/?map=4) | | | | | | | | | | |  |
|  | | [2025/2/28  EDward Gaming  13/7  def  8/4  atk  5/3    Upper Final  Playoffs](/449010/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-ubf/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/09  Sentinels  4/13  atk  3/9  def  1/4    Grand Final  Main Event](/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/20  Siko Esports  13/10  atk  7/5  def  6/5    Upper Quarterfinals  International Play-ins](/421593/g2-esports-vs-siko-red-bull-home-ground-5-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2024/7/07  KRÜ Esports  13/5  atk  9/3  def  4/2    Week 3  Regular Season](/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3/?map=3) | | | | | | | | | | |  |
|  | | [2024/5/31  Paper Rex  7/13  def  1/11  atk  6/2    Upper Quarterfinals  Playoffs](/348463/paper-rex-vs-g2-esports-champions-tour-2024-masters-shanghai-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/25  Team Heretics  13/8  atk  9/3  def  4/5    Round 2  Swiss Stage](/348457/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-r2/?map=3) | | | | | | | | | | |  |
|  | | [2024/5/11  100 Thieves  11/13  def  8/4  atk  3/9    Upper Final  Playoffs](/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf/?map=3) | | | | | | | | | | |  |
|  | | [2024/4/14  100 Thieves  8/13  atk  4/8  def  4/5    Week 2  Regular Season](/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/27  Sentinels  13/9  atk  5/7  def  8/2    Play-ins  Play-Ins](/307574/sentinels-vs-g2-esports-champions-tour-2024-americas-kickoff-play-ins/?map=3) | | | | | | | | | | |  |
|  | | [2024/2/27  MIBR  15/13  def  5/7  atk  7/5  OT  3/1  Play-ins  Play-Ins](/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/26  KRÜ Esports  13/8  def  7/5  atk  6/3    Decider (C)  Group Stage](/295619/g2-esports-vs-kr-esports-champions-tour-2024-americas-kickoff-decider-c/?map=1) | | | | | | | | | | |  |
|  | | [2023/6/04  Shopify Rebellion Black  13/10  atk  7/5  def  6/5    Lower Round 1  Playoffs](/212532/shopify-rebellion-vs-g2-esports-challengers-league-north-america-lr1/?map=2) | | | | | | | | | | |  |
|  | | [2023/5/11  FaZe Clan  3/13  def  3/9  atk  0/4    Week 9  Split 2](/196152/g2-esports-vs-faze-clan-challengers-league-north-america-w9/?map=3) | | | | | | | | | | |  |
|  | | [2023/5/06  MAD Lions  6/13  def  4/8  atk  2/5    Week 8  Split 2](/196150/g2-esports-vs-mad-lions-challengers-league-north-america-w8/?map=1) | | | | | | | | | | |  |
|  | | [2023/4/21  OREsports  13/4  atk  8/4  def  5/0    Week 6  Split 2](/196138/g2-esports-vs-oresports-challengers-league-north-america-w6/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/31  The Guard  15/13  atk  5/7  def  7/5  OT  3/1  Lower Final  Mid-Season Face Off](/185987/the-guard-vs-g2-esports-challengers-league-north-america-lbf/?map=1) | | | | | | | | | | |  |
