| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [Bahzar  CAT](/player/26223/bahzar) | (+1) | 242 | 1.15 | 225.2 | 1.19 | 72% | 138.7 | 0.83 | 0.19 | 0.08 | 0.08 | 35% | 16% | 6/38 | [29](/511029/berzerkers-dawn-vs-respawned-cats-game-changers-2025-north-america-stage-2-lr3) | 200 | 168 | 47 | 20 | 19 |
| [Aace  FL](/player/43064/aace) | (+1) | 444 | 1.15 | 244.2 | 1.30 | 74% | 158.7 | 0.89 | 0.13 | 0.21 | 0.18 | 35% | 8% | 3/40 | [34](/524999/fennel-vs-noez-foxx-challengers-league-2025-japan-finals-lbf) | 395 | 303 | 57 | 93 | 81 |
| [gMd  TSM](/player/64/gmd) |  | 350 | 1.15 | 214.5 | 1.23 | 75% | 133.9 | 0.79 | 0.42 | 0.11 | 0.09 | 28% | 36% | 9/25 | [21](/519146/prosperity-esports-vs-tsm-challengers-2025-north-america-ace-stage-3-r3) | 275 | 224 | 147 | 38 | 32 |
| [erde  LEVA](/player/29242/erde) |  | 391 | 1.15 | 197.3 | 1.25 | 73% | 126.2 | 0.71 | 0.30 | 0.06 | 0.06 | 31% | 25% | 14/57 | [27](/525811/leviat-n-academy-vs-shinden-challengers-2025-latam-south-ace-stage-2-playoffs-gf) | 277 | 222 | 116 | 23 | 22 |
| [parscofield  Mine](/player/24737/parscofield) | (+2) | 296 | 1.15 | 232.3 | 1.23 | 73% | 147.7 | 0.84 | 0.25 | 0.12 | 0.11 | 33% | 27% | 12/45 | [27](/520583/team-secret-academy-vs-naos-challengers-2025-southeast-asia-split-3-w1) | 250 | 203 | 73 | 35 | 32 |
| [Pkm  T1A](/player/28401/pkm) | (+1) | 291 | 1.15 | 245.0 | 1.19 | 73% | 157.5 | 0.85 | 0.26 | 0.22 | 0.22 | 26% | 12% | 2/17 | [27](/511272/t1-academy-vs-fearx-challengers-2025-korea-wdg-stage-3-w4) | 247 | 207 | 76 | 64 | 64 |
| [Potter  FS](/player/23930/potter) | (+1) | 247 | 1.15 | 241.7 | 1.28 | 70% | 149.5 | 0.87 | 0.11 | 0.19 | 0.16 | 28% | 18% | 3/17 | [26](/521219/rrq-academy-vs-full-sense-challengers-2025-southeast-asia-split-3-w2) | 215 | 168 | 28 | 46 | 39 |
| [slowly  TYL](/player/41739/slowly) | (+1) | 210 | 1.15 | 220.7 | 1.13 | 67% | 150.8 | 0.80 | 0.21 | 0.18 | 0.16 | 33% |  |  | [31](/527580/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-ubsf) | 167 | 148 | 44 | 37 | 33 |
| [Jow  6K](/player/17690/jow) | (+1) | 272 | 1.15 | 230.3 | 1.17 | 74% | 144.0 | 0.81 | 0.37 | 0.13 | 0.08 | 38% | 5% | 2/39 | [31](/525801/six-karma-vs-e-xolos-lazer-challengers-2025-latam-north-ace-stage-2-gf) | 220 | 188 | 101 | 36 | 21 |
| [colby  BLUE](/player/44607/colby) | (+3) | 288 | 1.15 | 222.0 | 1.24 | 68% | 139.4 | 0.81 | 0.26 | 0.11 | 0.10 | 23% | 19% | 9/48 | [31](/518392/equinox-vs-skylines-last-hope-game-changers-2025-north-america-stage-2-ubsf) | 234 | 189 | 75 | 31 | 30 |
| [keznit  KRÜ](/player/2462/keznit) | (+5) | 553 | 1.14 | 235.9 | 1.14 | 73% | 153.5 | 0.81 | 0.26 | 0.14 | 0.12 | 23% | 13% | 7/54 | [22](/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf) | 446 | 390 | 144 | 78 | 69 |
