| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [neptune  L11](/player/2139/neptune) | (+3) | 250 | 0.97 | 190.7 | 1.01 | 74% | 117.4 | 0.68 | 0.22 | 0.06 | 0.09 | 30% | 23% | 5/22 | [26](/511502/sad-esports-vs-ezframes-funhavergg-zero-in-qualifier-7-ro16) | 170 | 169 | 55 | 15 | 22 |
| [illumi  DXA](/player/31599/illumi) | (+1) | 352 | 0.97 | 203.7 | 0.98 | 67% | 139.5 | 0.74 | 0.15 | 0.12 | 0.13 | 27% | 9% | 3/32 | [27](/520228/care-mid-vs-vina-side-hustle-challengers-2025-oceania-split-2-r5) | 261 | 265 | 54 | 42 | 44 |
| [bdog  YFP](/player/844/bdog) | (+2) | 373 | 0.97 | 205.1 | 0.94 | 65% | 132.6 | 0.72 | 0.22 | 0.18 | 0.19 | 29% | 13% | 4/32 | [24](/519148/blue-otter-vs-yfp-challengers-2025-north-america-ace-stage-3-r3) | 268 | 286 | 82 | 69 | 72 |
| [ALLR1GHTT](/player/31497/allr1ghtt) | (+1) | 283 | 0.97 | 176.5 | 0.91 | 73% | 121.7 | 0.63 | 0.28 | 0.04 | 0.05 | 37% | 6% | 2/33 | [19](/510719/xoxo-01-vs-starboy-valorant-thailand-series-preseason-lbf) | 179 | 196 | 80 | 10 | 15 |
| [syfi  Alli](/player/20337/syfi) | (+5) | 855 | 0.97 | 190.4 | 0.93 | 72% | 124.7 | 0.65 | 0.34 | 0.05 | 0.06 | 25% | 17% | 18/103 | [23](/515732/jobuypower-vs-zoned-out-gaming-funhavergg-zero-in-final-qualifier-groups-winners-m) | 554 | 594 | 292 | 47 | 50 |
| [delz1k  9ZG](/player/2468/delz1k) |  | 311 | 0.97 | 197.5 | 1.00 | 73% | 124.5 | 0.71 | 0.31 | 0.10 | 0.10 | 24% | 4% | 1/25 | [21](/525809/oxen-vs-9z-team-challengers-2025-latam-south-ace-stage-2-playoffs-ubsf) | 221 | 222 | 97 | 30 | 30 |
| [froz  ONG](/player/42710/froz) | (+1) | 206 | 0.97 | 187.4 | 1.04 | 70% | 125.7 | 0.67 | 0.16 | 0.11 | 0.06 | 31% | 13% | 3/24 | [21](/511265/onside-gaming-vs-slt-seongnam-challengers-2025-korea-wdg-stage-3-w2) | 139 | 134 | 32 | 22 | 12 |
| [gbz  MIBR.AC](/player/15395/gbz) |  | 246 | 0.97 | 195.6 | 0.95 | 68% | 134.3 | 0.68 | 0.29 | 0.06 | 0.09 | 34% | 12% | 3/26 | [22](/493363/corinthians-esports-vs-mibr-academy-challengers-2025-brazil-gamers-club-split-2-r7) | 167 | 176 | 71 | 15 | 22 |
| [kiss  VSH](/player/31593/kiss) | (+3) | 412 | 0.97 | 206.9 | 0.97 | 68% | 139.2 | 0.73 | 0.19 | 0.15 | 0.15 | 34% | 11% | 4/35 | [28](/527779/og-vs-vina-side-hustle-challengers-2025-oceania-split-2-lr2) | 300 | 308 | 79 | 61 | 62 |
| [H0llywood  CCG](/player/39751/h0llywood) | (+1) | 462 | 0.97 | 185.8 | 0.90 | 71% | 124.9 | 0.64 | 0.31 | 0.05 | 0.06 | 27% | 15% | 10/66 | [19](/516059/landor-vs-ccg-esports-funhavergg-zero-in-final-qualifier-ro32) | 297 | 331 | 141 | 21 | 29 |
| [neth  FL](/player/1970/neth) | (+1) | 444 | 0.97 | 194.5 | 1.06 | 73% | 123.2 | 0.70 | 0.20 | 0.07 | 0.07 | 26% | 9% | 4/43 | [20](/524995/fennel-vs-noez-foxx-challengers-league-2025-japan-finals-ubsf) | 309 | 291 | 89 | 31 | 33 |
| [zekei  Zone](/player/20922/zekei) | (+5) | 536 | 0.97 | 202.2 | 0.94 | 68% | 134.9 | 0.68 | 0.28 | 0.12 | 0.12 | 25% | 11% | 6/55 | [26](/511503/revitalize-vs-zoned-out-gaming-funhavergg-zero-in-qualifier-7-ro16) | 367 | 392 | 150 | 66 | 64 |
| [Creamydreamy  DSY](/player/33994/creamydreamy) | (+2) | 312 | 0.97 | 173.2 | 0.90 | 72% | 112.4 | 0.59 | 0.46 | 0.05 | 0.09 | 26% | 20% | 7/35 | [19](/524704/koi-f-nix-vs-dnsty-challengers-2025-spain-rising-finals-playoffs-gf) | 184 | 205 | 144 | 17 | 29 |
| [Izo  F5 E](/player/41873/izo) | (+3) | 623 | 0.97 | 183.7 | 0.96 | 72% | 128.4 | 0.64 | 0.27 | 0.06 | 0.06 | 34% | 16% | 11/70 | [24](/516068/prosperity-esports-vs-invictus-esports-funhavergg-zero-in-final-qualifier-ro32) | 396 | 414 | 170 | 37 | 35 |
| [Kira  SIKO.GC](/player/16080/kira) |  | 221 | 0.97 | 196.1 | 0.95 | 71% | 133.1 | 0.71 | 0.27 | 0.11 | 0.10 | 27% | 14% | 5/35 | [32](/524806/boostgate-esports-vs-team-galaga-kitsune-game-changers-2025-emea-contenders-series-2-open-qualif) | 156 | 165 | 60 | 24 | 23 |
| [PIETY  XIP.GC](/player/26069/piety) | (+2) | 307 | 0.97 | 196.7 | 0.97 | 73% | 128.6 | 0.70 | 0.28 | 0.08 | 0.09 | 33% | 25% | 7/28 | [22](/490748/xipto-esports-gc-vs-precision-power-quickness-game-changers-2025-southeast-asia-split-2-ubqf) | 214 | 220 | 87 | 25 | 27 |
| [moon](/player/17214/moon) | (+1) | 201 | 0.97 | 192.4 | 1.01 | 71% | 129.5 | 0.70 | 0.18 | 0.11 | 0.07 | 31% | 12% | 3/26 | [21](/503446/s2-esports-vs-good-boy-soop-elite-cup-2025-season-2-gf) | 140 | 138 | 36 | 23 | 15 |
| [otaQ  6K](/player/26757/otaq) | (+4) | 272 | 0.97 | 191.8 | 1.01 | 75% | 126.7 | 0.69 | 0.33 | 0.07 | 0.10 | 19% | 11% | 4/35 | [29](/525800/e-xolos-lazer-vs-six-karma-challengers-2025-latam-north-ace-stage-2-ubf) | 189 | 188 | 89 | 19 | 27 |
| [Kouf  YFP](/player/13754/kouf) | (+6) | 717 | 0.97 | 184.3 | 0.94 | 71% | 119.4 | 0.63 | 0.34 | 0.06 | 0.08 | 23% | 17% | 15/88 | [22](/516074/yfp-pigeons-vs-revitalize-funhavergg-zero-in-final-qualifier-ro16) | 455 | 482 | 242 | 45 | 58 |
| [BlackMoose  Oni](/player/8751/blackmoose) |  | 600 | 0.97 | 183.8 | 0.89 | 69% | 121.9 | 0.64 | 0.32 | 0.06 | 0.06 | 23% | 12% | 8/66 | [26](/521364/dinglerz-vs-team-digital-funhavergg-plain-jane-4-playoffs-ro16) | 386 | 435 | 189 | 35 | 36 |
| [Neat  AOE](/player/24203/neat) |  | 475 | 0.97 | 191.4 | 0.86 | 71% | 126.3 | 0.63 | 0.36 | 0.05 | 0.06 | 20% | 9% | 8/92 | [29](/515717/revitalize-vs-octonauts-funhavergg-zero-in-final-qualifier-groups-winners-j) | 300 | 349 | 170 | 25 | 27 |
| [D0V3S  Over](/player/39632/d0v3s) | (+1) | 677 | 0.97 | 202.2 | 0.91 | 71% | 125.5 | 0.70 | 0.41 | 0.09 | 0.09 | 22% | 13% | 10/75 | [24](/526714/legacy-kingdom-vs-overtake-funhavergg-zero-in-lan-ro16) | 477 | 522 | 275 | 59 | 61 |
| [phi  iPGN](/player/34221/phi) |  | 250 | 0.97 | 196.4 | 0.93 | 70% | 132.3 | 0.69 | 0.36 | 0.08 | 0.07 | 29% | 9% | 3/34 | [35](/516795/xyz-vs-og-challengers-2025-oceania-split-2-r3) | 172 | 185 | 91 | 21 | 17 |
| [P0LAND  EVX](/player/39531/p0land) | (+2) | 346 | 0.97 | 182.6 | 0.95 | 68% | 119.4 | 0.65 | 0.21 | 0.12 | 0.08 | 31% | 10% | 6/59 | [20](/526719/blue-otter-vs-team-evictix-red-funhavergg-zero-in-lan-ro16) | 224 | 237 | 71 | 43 | 28 |
| [brock  KTS](/player/33061/brock) |  | 250 | 0.97 | 169.3 | 0.87 | 71% | 121.1 | 0.59 | 0.29 | 0.04 | 0.06 | 24% | 9% | 4/43 | [21](/520223/full-house-vs-xyz-challengers-2025-oceania-split-2-r4) | 148 | 171 | 73 | 10 | 15 |
| [Slammed  Abde](/player/26569/slammed) |  | 314 | 0.97 | 197.6 | 0.94 | 67% | 131.2 | 0.69 | 0.32 | 0.10 | 0.14 | 33% | 22% | 10/46 | [25](/511420/pigeons-vs-revitalize-funhavergg-zero-in-qualifier-7-gs-winners-b) | 217 | 230 | 100 | 31 | 44 |
| [Dark3st  QOR](/player/6437/dark3st) | (+1) | 681 | 0.97 | 190.8 | 0.97 | 76% | 123.2 | 0.66 | 0.45 | 0.07 | 0.09 | 26% | 26% | 10/39 | [23](/509403/cubert-academy-vs-qor-challengers-2025-north-america-ace-stage-3-r1) | 449 | 465 | 307 | 48 | 61 |
| [mixyce  F4T](/player/41466/mixyce) |  | 405 | 0.97 | 189.4 | 0.90 | 70% | 128.4 | 0.64 | 0.31 | 0.05 | 0.06 | 20% | 14% | 6/43 | [22](/518741/corinthians-esports-vs-f4tality-challengers-2025-brazil-gamers-club-split-2-opening) | 261 | 290 | 127 | 19 | 24 |
| [Abde  Tedw](/player/40826/abde) | (+1) | 383 | 0.97 | 201.1 | 0.93 | 68% | 134.1 | 0.69 | 0.25 | 0.07 | 0.08 | 21% | 9% | 4/46 | [28](/511503/revitalize-vs-zoned-out-gaming-funhavergg-zero-in-qualifier-7-ro16) | 265 | 286 | 97 | 28 | 32 |
| [Nanners](/player/2125/nanners) | (+4) | 1237 | 0.97 | 181.1 | 0.88 | 72% | 115.7 | 0.63 | 0.45 | 0.06 | 0.08 | 26% | 15% | 21/139 | [25](/529552/burger-boyz-vs-tenax-funhavergg-mad-science-draft-4-ro16) | 776 | 883 | 557 | 69 | 101 |
| [PKX  PEEK](/player/22912/pkx) |  | 268 | 0.97 | 182.9 | 0.96 | 57% | 126.2 | 0.68 | 0.12 | 0.06 | 0.09 | 38% | 14% | 8/56 | [24](/518740/los-grandes-vs-peek-challengers-2025-brazil-gamers-club-split-2-opening) | 183 | 191 | 33 | 17 | 23 |
| [alexiiik  NAVI](/player/25906/alexiiik) | (+1) | 431 | 0.97 | 213.7 | 1.05 | 67% | 134.9 | 0.77 | 0.13 | 0.19 | 0.18 | 29% | 5% | 1/22 | [25](/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf) | 332 | 317 | 58 | 81 | 77 |
| [lily  RIE](/player/41883/lily) |  | 256 | 0.97 | 225.5 | 1.04 | 72% | 149.8 | 0.77 | 0.23 | 0.18 | 0.14 | 23% | 21% | 4/19 | [24](/504689/true-synergy-gaming-gc-vs-divine-game-changers-2025-oceania-split-2-lbf) | 196 | 188 | 58 | 45 | 36 |
| [bunnybee  HAKI](/player/25246/bunnybee) |  | 282 | 0.97 | 215.5 | 1.02 | 63% | 138.8 | 0.77 | 0.16 | 0.14 | 0.20 | 30% | 22% | 5/23 | [22](/522587/flyquest-red-vs-hakikimori-gc-game-changers-2025-north-america-stage-2-r1) | 216 | 211 | 46 | 40 | 55 |
| [Madelyn  VLT](/player/9290/madelyn) |  | 317 | 0.97 | 175.7 | 0.91 | 73% | 115.7 | 0.59 | 0.31 | 0.07 | 0.08 | 21% | 12% | 6/49 | [17](/509518/velocity-gaming-vs-dot-exe-challengers-2025-south-asia-split-3-opening-b) | 186 | 205 | 97 | 23 | 26 |
| [Firewolf  Ace](/player/37559/firewolf) |  | 233 | 0.97 | 195.8 | 0.90 | 69% | 129.1 | 0.69 | 0.24 | 0.04 | 0.08 | 26% | 14% | 5/36 | [23](/515734/zoned-out-gaming-vs-vivid-funhavergg-zero-in-final-qualifier-groups-decider-m) | 160 | 178 | 56 | 9 | 19 |
| [RvK  DXE](/player/12323/rvk) | (+3) | 295 | 0.97 | 194.7 | 0.97 | 67% | 123.5 | 0.70 | 0.22 | 0.09 | 0.08 | 40% | 10% | 5/51 | [20](/509521/dot-exe-vs-reckoning-esports-challengers-2025-south-asia-split-3-elim-b) | 207 | 214 | 65 | 28 | 23 |
| [Unfair  ATN](/player/23237/unfair) |  | 218 | 0.97 | 190.2 | 0.95 | 67% | 132.3 | 0.68 | 0.20 | 0.08 | 0.09 | 34% | 9% | 3/34 | [25](/509985/eintracht-frankfurt-vs-alternate-attax-challengers-2025-dach-evolution-split-3-group-stage-r1) | 148 | 155 | 44 | 18 | 20 |
| [BuZz  T1](/player/804/buzz) |  | 442 | 0.97 | 201.6 | 1.02 | 67% | 129.4 | 0.72 | 0.16 | 0.14 | 0.14 | 22% | 7% | 4/54 | [33](/508817/t1-vs-paper-rex-vct-2025-pacific-stage-2-w1) | 320 | 313 | 72 | 60 | 61 |
| [Hermes  BFX](/player/17049/hermes) | (+2) | 223 | 0.97 | 194.3 | 0.98 | 66% | 127.8 | 0.70 | 0.20 | 0.09 | 0.06 | 26% | 13% | 4/32 | [24](/528176/fearx-vs-slt-seongnam-challengers-2025-korea-wdg-stage-3-ubsf) | 157 | 161 | 45 | 21 | 13 |
| [oroni  FFV](/player/52965/oroni) | (+4) | 208 | 0.97 | 176.4 | 0.91 | 68% | 123.9 | 0.64 | 0.30 | 0.09 | 0.10 | 29% | 3% | 1/31 | [20](/511202/fire-flux-vatangame-vs-bbl-pcific-challengers-2025-t-rkiye-birlik-split-3-w3) | 134 | 148 | 63 | 18 | 20 |
| [Jinboong  DFM](/player/4052/jinboong) | (+2) | 274 | 0.96 | 186.9 | 0.95 | 69% | 122.3 | 0.64 | 0.19 | 0.08 | 0.07 | 33% | 18% | 5/28 | [23](/508845/t1-vs-detonation-focusme-vct-2025-pacific-stage-2-w4) | 176 | 186 | 52 | 23 | 18 |
| [Viva  XLG](/player/36415/viva) |  | 278 | 0.96 | 162.3 | 0.94 | 77% | 110.1 | 0.58 | 0.26 | 0.05 | 0.08 | 30% | 9% | 1/11 | [25](/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b) | 162 | 172 | 72 | 11 | 18 |
| [Tillo  Grif](/player/8518/tillo) | (+3) | 729 | 0.96 | 192.5 | 0.91 | 71% | 129.7 | 0.65 | 0.31 | 0.06 | 0.07 | 21% | 12% | 12/103 | [27](/525297/shopify-rebellion-black-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-r5) | 477 | 523 | 228 | 44 | 52 |
| [lov3r  BLUE](/player/40928/lov3r) |  | 376 | 0.96 | 174.1 | 0.92 | 71% | 112.1 | 0.61 | 0.28 | 0.04 | 0.03 | 23% | 13% | 8/60 | [20](/511013/artificial-intelligence-vs-berzerkers-dawn-game-changers-2025-north-america-stage-2-ubqf) | 229 | 250 | 107 | 16 | 12 |
| [MIKE  BOBO](/player/11106/mike) | (+1) | 225 | 0.96 | 205.4 | 0.91 | 69% | 142.1 | 0.73 | 0.27 | 0.11 | 0.16 | 25% | 18% | 5/28 | [27](/527773/full-house-vs-bobo-challengers-2025-oceania-split-2-ubsf) | 164 | 181 | 61 | 25 | 35 |
| [jowa  SAD](/player/19292/jowa) | (+4) | 902 | 0.96 | 179.9 | 0.93 | 75% | 111.6 | 0.63 | 0.45 | 0.08 | 0.10 | 25% | 16% | 12/75 | [24](/516057/sad-esports-vs-tuffgg-funhavergg-zero-in-final-qualifier-ro32) | 568 | 612 | 408 | 68 | 91 |
| [Burzzy  FFV](/player/4589/burzzy) |  | 208 | 0.96 | 200.8 | 0.96 | 64% | 129.3 | 0.74 | 0.25 | 0.11 | 0.13 | 37% | 17% | 3/18 | [27](/511198/fenerbah-e-esports-vs-fire-flux-vatangame-challengers-2025-t-rkiye-birlik-split-3-w2) | 153 | 159 | 52 | 22 | 27 |
| [WerlasS  GS](/player/13545/werlass) | (+1) | 271 | 0.96 | 184.1 | 0.97 | 68% | 121.6 | 0.66 | 0.20 | 0.08 | 0.07 | 31% | 8% | 3/36 | [22](/511210/galatasaray-esports-vs-papara-supermassive-challengers-2025-t-rkiye-birlik-split-3-w4) | 180 | 186 | 55 | 21 | 20 |
| [Xeppaa  C9](/player/7871/xeppaa) |  | 298 | 0.96 | 190.6 | 0.99 | 76% | 125.1 | 0.67 | 0.27 | 0.07 | 0.06 | 23% | 14% | 5/37 | [20](/530902/leviat-n-vs-cloud9-vct-2025-americas-stage-2-ur1) | 199 | 201 | 80 | 20 | 18 |
| [CHICHOO  EDG](/player/15559/chichoo) | (+1) | 559 | 0.96 | 183.0 | 0.97 | 72% | 121.7 | 0.64 | 0.21 | 0.07 | 0.07 | 27% | 6% | 1/16 | [24](/527588/bilibili-gaming-vs-edward-gaming-vct-2025-china-stage-2-lbf) | 360 | 372 | 117 | 41 | 40 |
| [basya  DET](/player/2431/basya) | (+1) | 419 | 0.96 | 179.1 | 0.94 | 68% | 117.8 | 0.63 | 0.18 | 0.09 | 0.07 | 24% | 14% | 8/59 | [21](/521605/d-ti-ulice-vs-team-liquid-academy-challengers-2025-north-east-samsung-odyssey-split-3-lbf) | 266 | 282 | 76 | 38 | 29 |
| [vaiZ  SHI](/player/2931/vaiz) |  | 381 | 0.96 | 189.9 | 0.88 | 72% | 134.3 | 0.62 | 0.36 | 0.06 | 0.07 | 20% | 16% | 7/45 | [27](/525811/leviat-n-academy-vs-shinden-challengers-2025-latam-south-ace-stage-2-playoffs-gf) | 236 | 268 | 136 | 21 | 25 |
| [NagZ  9ZG](/player/1294/nagz) |  | 311 | 0.96 | 184.4 | 0.96 | 69% | 127.2 | 0.65 | 0.16 | 0.13 | 0.09 | 29% | 8% | 3/36 | [18](/505180/oxen-vs-9z-team-challengers-2025-latam-south-ace-stage-2-w6) | 202 | 211 | 51 | 41 | 29 |
| [Raxcal  ONG](/player/48925/raxcal) |  | 206 | 0.96 | 199.7 | 0.99 | 74% | 127.7 | 0.69 | 0.20 | 0.16 | 0.16 | 18% | 8% | 1/12 | [18](/511265/onside-gaming-vs-slt-seongnam-challengers-2025-korea-wdg-stage-3-w2) | 142 | 143 | 41 | 32 | 33 |
| [skylen  SUP](/player/3557/skylen) | (+1) | 295 | 0.96 | 184.9 | 0.95 | 74% | 124.3 | 0.67 | 0.26 | 0.08 | 0.09 | 34% | 23% | 7/31 | [23](/511210/galatasaray-esports-vs-papara-supermassive-challengers-2025-t-rkiye-birlik-split-3-w4) | 197 | 208 | 78 | 25 | 26 |
| [free1ng  DRX](/player/1916/free1ng) | (+2) | 434 | 0.96 | 188.0 | 0.93 | 71% | 123.1 | 0.65 | 0.29 | 0.08 | 0.09 | 33% | 15% | 8/54 | [20](/508842/drx-vs-global-esports-vct-2025-pacific-stage-2-w4) | 280 | 300 | 125 | 34 | 39 |
| [Nastiness](/player/49953/nastiness) |  | 253 | 0.96 | 179.3 | 1.02 | 66% | 123.5 | 0.66 | 0.17 | 0.10 | 0.11 | 31% | 9% | 4/45 | [20](/503446/s2-esports-vs-good-boy-soop-elite-cup-2025-season-2-gf) | 168 | 165 | 43 | 26 | 27 |
| [Anq  VLNT](/player/2252/anq) |  | 288 | 0.96 | 177.6 | 0.96 | 68% | 113.9 | 0.64 | 0.37 | 0.08 | 0.10 | 29% | 19% | 6/31 | [20](/524284/team-valiant-vs-mandatory-challengers-2025-france-revolution-split-3-lbf) | 184 | 191 | 107 | 24 | 28 |
| [Aurelion  Eter](/player/34417/aurelion) | (+2) | 321 | 0.96 | 197.3 | 0.93 | 69% | 132.4 | 0.69 | 0.24 | 0.06 | 0.09 | 28% | 10% | 5/51 | [20](/523492/invictus-esports-vs-eternal-focus-funhavergg-plain-jane-5-playoffs-ro32) | 222 | 238 | 78 | 19 | 28 |
| [ven  KUMA](/player/55049/ven) | (+2) | 306 | 0.96 | 200.6 | 0.94 | 68% | 134.3 | 0.73 | 0.22 | 0.07 | 0.08 | 36% | 14% | 6/43 | [24](/529546/yfp-pigeons-vs-una-ludio-funhavergg-mad-science-draft-4-ro16) | 222 | 235 | 68 | 22 | 24 |
| [Deqadz  TSE](/player/31350/deqadz) |  | 339 | 0.96 | 199.8 | 0.92 | 70% | 127.8 | 0.69 | 0.30 | 0.11 | 0.10 | 21% | 17% | 8/48 | [24](/511707/team-liquid-academy-vs-twisted-saints-esports-challengers-2025-north-east-samsung-odyssey-split) | 233 | 254 | 102 | 38 | 35 |
| [kamyk  M8](/player/1475/kamyk) | (+3) | 456 | 0.96 | 193.0 | 0.97 | 74% | 123.4 | 0.69 | 0.34 | 0.09 | 0.09 | 32% | 8% | 5/59 | [24](/511552/gentle-mates-vs-team-heretics-vct-2025-emea-stage-2-w2) | 315 | 324 | 156 | 39 | 39 |
| [Daru  DOES](/player/30104/daru) |  | 505 | 0.96 | 187.1 | 0.93 | 69% | 128.4 | 0.67 | 0.31 | 0.05 | 0.08 | 37% | 14% | 11/76 | [26](/527229/ssp-numina-vs-small-crew-game-changers-2025-emea-contenders-series-2-playoffs-uro16) | 339 | 365 | 157 | 23 | 40 |
| [Laz  FS](/player/8582/laz) | (+1) | 247 | 0.96 | 177.0 | 1.00 | 70% | 111.1 | 0.64 | 0.18 | 0.05 | 0.06 | 30% | 19% | 8/42 | [23](/521219/rrq-academy-vs-full-sense-challengers-2025-southeast-asia-split-3-w2) | 157 | 157 | 45 | 12 | 14 |
| [juseu  MZP](/player/7104/juseu) |  | 308 | 0.96 | 206.9 | 0.96 | 64% | 135.8 | 0.72 | 0.16 | 0.14 | 0.16 | 25% | 9% | 3/32 | [22](/521602/team-liquid-academy-vs-metizport-challengers-2025-north-east-samsung-odyssey-split-3-lr2) | 223 | 232 | 49 | 43 | 48 |
| [Suka  TSA](/player/14209/suka) |  | 296 | 0.96 | 186.8 | 0.93 | 74% | 124.9 | 0.64 | 0.37 | 0.06 | 0.08 | 29% | 9% | 4/43 | [20](/520583/team-secret-academy-vs-naos-challengers-2025-southeast-asia-split-3-w1) | 190 | 205 | 110 | 18 | 25 |
| [sturNN  MISA](/player/12226/sturnn) |  | 203 | 0.96 | 174.9 | 0.98 | 67% | 126.3 | 0.67 | 0.15 | 0.05 | 0.05 | 31% | 11% | 4/37 | [35](/511209/eternal-fire-vs-misa-esports-challengers-2025-t-rkiye-birlik-split-3-w4) | 136 | 139 | 31 | 11 | 11 |
| [msh  Z10](/player/37840/msh) | (+1) | 245 | 0.96 | 196.5 | 1.01 | 66% | 133.3 | 0.74 | 0.16 | 0.09 | 0.12 | 38% | 9% | 2/22 | [29](/536066/trashcan-vs-szach-mat-evc-the-surge-5-qf) | 182 | 180 | 39 | 23 | 30 |
| [kyrrz  RBT](/player/2835/kyrrz) |  | 279 | 0.96 | 163.9 | 0.97 | 68% | 106.5 | 0.60 | 0.24 | 0.06 | 0.10 | 38% | 16% | 7/43 | [21](/505102/ramboot-club-vs-ucam-esports-club-challengers-2025-spain-rising-split-3-r5) | 167 | 172 | 66 | 17 | 29 |
| [CyvOph  JL](/player/13258/cyvoph) | (+2) | 218 | 0.96 | 161.0 | 0.92 | 77% | 104.0 | 0.56 | 0.44 | 0.06 | 0.08 | 31% | 10% | 2/21 | [17](/524279/joblife-vs-team-valiant-challengers-2025-france-revolution-split-3-ubf) | 121 | 132 | 97 | 13 | 17 |
| [pollo  SCCP](/player/2486/pollo) | (+1) | 362 | 0.96 | 186.9 | 0.95 | 69% | 129.9 | 0.64 | 0.23 | 0.06 | 0.07 | 27% | 5% | 2/38 | [22](/518744/f4tality-vs-corinthians-esports-challengers-2025-brazil-gamers-club-split-2-decider) | 231 | 242 | 83 | 20 | 25 |
| [Awkua  SaD](/player/8405/awkua) | (+2) | 201 | 0.96 | 183.3 | 0.96 | 67% | 115.6 | 0.66 | 0.27 | 0.05 | 0.09 | 29% | 15% | 3/20 | [19](/526261/rice-and-cracker-vs-abdes-daycare-funhavergg-zero-in-lan-swiss-stage-r3-0-2) | 133 | 139 | 54 | 11 | 19 |
| [lissa  MIBR.GC](/player/14690/lissa) | (+2) | 396 | 0.96 | 182.1 | 0.98 | 73% | 126.4 | 0.65 | 0.29 | 0.07 | 0.08 | 28% | 10% | 5/49 | [22](/514826/team-liquid-brazil-vs-mibr-gc-game-changers-2025-brazil-stage-2-gf) | 256 | 262 | 114 | 28 | 30 |
| [mikee  MDR](/player/1284/mikee) |  | 319 | 0.96 | 189.5 | 0.91 | 73% | 124.5 | 0.64 | 0.36 | 0.06 | 0.08 | 28% | 14% | 5/36 | [21](/511623/mandatory-vs-animals-challengers-2025-france-revolution-split-3-w1) | 205 | 226 | 116 | 20 | 27 |
| [Nation  PRDX](/player/5236/nation) | (+2) | 317 | 0.96 | 173.1 | 0.96 | 73% | 118.3 | 0.62 | 0.21 | 0.07 | 0.07 | 24% | 13% | 7/54 | [23](/520224/nx-vs-marlon-n-friends-challengers-2025-oceania-split-2-r4) | 198 | 207 | 66 | 22 | 21 |
| [Manny  PRS](/player/46017/manny) | (+2) | 607 | 0.96 | 206.5 | 0.99 | 71% | 134.9 | 0.71 | 0.25 | 0.14 | 0.10 | 26% | 6% | 4/69 | [24](/511437/prosperity-esports-vs-tuffgg-funhavergg-zero-in-qualifier-7-gs-decider-e) | 432 | 435 | 153 | 82 | 58 |
| [demek  MKF](/player/9556/demek) |  | 332 | 0.96 | 203.5 | 0.97 | 77% | 128.6 | 0.73 | 0.23 | 0.14 | 0.12 | 23% | 13% | 5/39 | [34](/524704/koi-f-nix-vs-dnsty-challengers-2025-spain-rising-finals-playoffs-gf) | 241 | 248 | 76 | 46 | 40 |
| [qRaxs  FUT](/player/1139/qraxs) |  | 247 | 0.95 | 181.6 | 0.81 | 72% | 114.7 | 0.62 | 0.53 | 0.04 | 0.06 | 36% | 17% | 5/29 | [21](/511562/fut-esports-vs-giantx-vct-2025-emea-stage-2-w3) | 152 | 187 | 132 | 10 | 14 |
| [Governor  WU](/player/3980/governor) | (+2) | 470 | 0.95 | 194.9 | 0.94 | 73% | 131.1 | 0.67 | 0.28 | 0.08 | 0.09 | 31% | 12% | 5/41 | [30](/532790/maryville-university-vs-winthrop-university-challengers-2025-north-america-ace-stage-3-ubqf) | 315 | 335 | 133 | 36 | 42 |
| [toxik  MSU](/player/27353/toxik) |  | 313 | 0.95 | 186.8 | 0.91 | 66% | 129.5 | 0.66 | 0.21 | 0.07 | 0.12 | 25% | 24% | 10/42 | [22](/511503/revitalize-vs-zoned-out-gaming-funhavergg-zero-in-qualifier-7-ro16) | 206 | 226 | 67 | 23 | 36 |
| [gek  FURY](/player/51441/gek) | (+1) | 261 | 0.95 | 213.9 | 0.99 | 67% | 140.2 | 0.79 | 0.12 | 0.14 | 0.17 | 33% | 8% | 2/25 | [26](/516796/nx-vs-fury-challengers-2025-oceania-split-2-r3) | 207 | 210 | 32 | 37 | 45 |
| [tripz  KUMA](/player/38799/tripz) | (+5) | 413 | 0.95 | 204.9 | 0.92 | 64% | 132.0 | 0.71 | 0.25 | 0.12 | 0.13 | 33% | 20% | 12/61 | [29](/529546/yfp-pigeons-vs-una-ludio-funhavergg-mad-science-draft-4-ro16) | 293 | 317 | 105 | 49 | 54 |
| [Veqaj  M8](/player/12928/veqaj) |  | 456 | 0.95 | 188.9 | 0.94 | 72% | 131.8 | 0.68 | 0.29 | 0.07 | 0.10 | 27% | 7% | 4/56 | [28](/511552/gentle-mates-vs-team-heretics-vct-2025-emea-stage-2-w2) | 308 | 326 | 131 | 30 | 44 |
| [GuhRVN  LOS](/player/1581/guhrvn) |  | 205 | 0.95 | 194.2 | 0.90 | 69% | 124.2 | 0.64 | 0.41 | 0.08 | 0.14 | 32% | 27% | 4/15 | [19](/518742/los-grandes-vs-corinthians-esports-challengers-2025-brazil-gamers-club-split-2-winners) | 131 | 145 | 85 | 16 | 28 |
